product_code,product_description,sbu_code,sbu_description,business_field_desc,business_field_code,business_unit_code,business_unit_desc
"['UFC203024', 'UFC501024', 'UFC501096', 'UFC503008', 'UFC505096', 'UFC805008', 'UFC810096', 'UFC900324', 'UFC910008', 'UFC910024', 'UFC200324', 'UFC205024', 'UFC503024', 'UFC503096', 'UFC505008', 'UFC510024', 'UFC510096', 'UFC800308', 'UFC800324', 'UFC801024', 'UFC810008', 'UFC900308', 'UFC903008', 'UFC903024', 'UFC903096', 'UFC910096', 'UFSC050SL', 'UFSC20001', 'UFC500308', 'UFC500396', 'UFC501008', 'UFC800396', 'UFC801096', 'UFC803008', 'UFC805024', 'UFC201024', 'UFC500324', 'UFC505024', 'UFC510008', 'UFC801008', 'UFC803024', 'UFC810024', 'UFC901008', 'UFC901024', 'UFC905008', 'UFC905024', 'UFSC05001']",Amicon Ultra 2ml 30K 24PK,687,Concentration & Separation,Molecular Reagents & Tools,C61,LR4,Biology
['S2GVU10RE'],Stericup-GV 500/1000mL Durapore PVDF .22,689,Cell & Screening Tools,Cell & General Workflow Tools,C09,LR4,Biology
"['MAB10216', 'MAB10216-I-100UG']","Anti-Flavivirus Group Antigen, clone",696,Antibody Technologies,Protein & Pathway Analysis,C16,LR4,Biology
SIA-135992-5G,"DI-TERT-BUTYL AZODICARBOXYLATE, 98%",774,Chemical Synthesis - RC,Chemical Synthesis & Discovery Chemistry,C34,LR2,Chemistry
SIA-160601-1G,"3-(2-PYRIDYL)-5,6-DIPHENYL-1,2,4-TRIAZIN",774,Chemical Synthesis - RC,Chemical Synthesis & Discovery Chemistry,C34,LR2,Chemistry
USP-1673715,"TREHALOSE, UNITED STATES PHARMACOPEIA (U",531,Drugs & Metrological Institutes,Reference Materials (RM),C47,LR2,Chemistry
SIA-176494-100MG,EUROPIUM TRIS(3-(TRIFLUOROMETHYLHYDROXY&,774,Chemical Synthesis - RC,Chemical Synthesis & Discovery Chemistry,C34,LR2,Chemistry
SIA-182702-100G,"POLY(VINYLIDENE FLUORIDE), AVERAGE MW CA",780,Material Science,Material Science & Flavors and Fragrances (F&F),C36,LR2,Chemistry
SIA-228621-100G,"LEAD(II) NITRATE, 99+%, A.C.S. REAGENT",778,Inorganics for Research,Analytical Chemistry & Solvents,C45,LR2,Chemistry
SIA-233315-5G,"ACETIC ACID-D4, >=99.9 ATOM % D",480,Solvents for Research,Analytical Chemistry & Solvents,C45,LR2,Chemistry
