Stockcode,Descripiton,Cat,Sub Cat,SBU,,,,,,,,,,,,,,,,,,,,,
1460810120,#NAME?,BioM,,,,,,,,,,,,,,,,,,,,,,,
1464130006,Malachite Green Broth 562050-W-6P           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1464810006,NaCl-Peptone Solution w. TLH 5901000-6P          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
HAWG050S6,0.45UM WHITE GRIDDED S-PAK 50MM 4X150/PK         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXPPMKIT1,SERVICE KIT FOR MFX+ SINGLE HEAD         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
910000074788,Milliflex Rapid 2 - Bioburden Demo kit        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
PPX79166,"PCBA, PIPETMAX 268 BASEBOARD PROG          ",BioM,,,,,,,,,,,,,,,,,,,,,,,
1059780500,OGYE AGAR BASIS 500 G          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
1665060020-CN,#NAME?,BioM,,,,,,,,,,,,,,,,,,,,,,,
TZHAMD210,Steritest® NEO MEDICAL DEV BAGS MCE         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
MXPELCVHP,VHP CABLES SET FOR MFX ELECTRICAL HUB        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
TTHA0F210,STERISURE HA 10/PK            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
ATBTUBE01,Reinforced Silicone Tubing 3m           ,BioM,,,,,,,,,,,,,,,,,,,,,,,
RSVALID11,On Site Rapid Micro Validation IQ/OQ         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
GSPMTVL16,Service Plan Travel zone 6          ,BioM,,,,,,,,,,,,,,,,,,,,,,,
EFHAB250I,"EZ-FIT FUNNEL 250ML BLACK MEMBR 0,45µM         ",BioM,,,,,,,,,,,,,,,,,,,,,,,
SYMBFEE02,ST SYMBIO FEET 23 MM FOR HOODS        ,BioM,,,,,,,,,,,,,,,,,,,,,,,
BSTRAIN12,Milliflex advanced training            ,BioM,,,,,,,,,,,,,,,,,,,,,,,
910000074747,MAS-100 NT IQ OQ Printable Protocol         ,BioM,,,,,,,,,,,,,,,,,,,,,,,
